raa,rawc,raws,ustar
#sm-1,sm-1,sm-1,ms-1
25.9000,14.9333,117.8715,0.1771
20.7543,13.3678,96.4402,0.2210
21.9331,13.7422,101.3498,0.2092
20.3147,13.2254,94.6089,0.2258
17.3644,12.2274,82.3212,0.2642
16.3836,11.8771,78.2363,0.2800
15.5876,11.5850,74.9210,0.2943
16.8101,12.0307,80.0127,0.2729
16.6221,11.9632,79.2296,0.2760
14.4538,11.1557,70.1991,0.3174
13.6207,10.8294,66.7291,0.3368
15.3430,11.4937,73.9023,0.2990
14.6842,11.2442,71.1584,0.3124
16.8051,12.0289,79.9918,0.2730
17.0657,12.1218,81.0771,0.2688
16.3969,11.8819,78.2918,0.2798
17.5161,12.2807,82.9533,0.2619
18.7413,12.7030,88.0559,0.2448
20.0658,13.1442,93.5724,0.2286
14.2108,12.1238,79.1275,0.2764
14.3233,12.8760,85.6978,0.2524
10.1771,11.4349,67.6437,0.3315
15.5976,11.5887,74.9628,0.2941
12.2399,11.6754,72.9960,0.3033
8.2283,9.5698,52.4147,0.4505
7.9313,9.7803,53.2808,0.4414
7.7345,9.5109,51.3372,0.4622
8.3534,10.2449,56.7847,0.4084
8.8811,9.7001,54.0799,0.4334
8.6664,9.9586,55.5708,0.4193
10.4010,10.7459,63.4492,0.3575
8.0949,9.0004,48.3940,0.4976
8.2502,9.3421,50.9113,0.4670
10.2982,10.3606,60.4399,0.3788
11.2088,9.9688,57.9183,0.3987
15.3715,11.5044,74.0210,0.2984
16.2475,11.8276,77.6695,0.2823
17.3131,12.2093,82.1076,0.2650
45.1016,19.7061,197.8444,0.1017
20.3222,13.2279,94.6402,0.2257
14.9752,11.3551,72.3705,0.3063
16.5558,11.9393,78.9536,0.2771
24.4420,14.5069,111.7989,0.1877
22.3837,13.8826,103.2263,0.2049
23.8757,14.3378,109.4404,0.1921
22.5035,13.9197,103.7253,0.2039
24.9376,14.6532,113.8633,0.1840
25.9770,14.9554,118.1920,0.1766
23.2909,14.1611,107.0048,0.1970
