timestep,year,t,ShortIn,LongIn,HemisOutShort,HemisOutLong,HemisOutTot,Net
#-,-,JulianDay,Wm-2,Wm-2,Wm-2,Wm-2,Wm-2,Wm-2
1.0000,2006.0000,169.0000,0.0000,264.8945,0.0000,366.0890,366.0890,-100.9889
2.0000,2006.0000,169.0208,0.0000,264.9676,0.0000,368.5815,368.5815,-103.4066
3.0000,2006.0000,169.0417,0.0000,264.4910,0.0000,367.6555,367.6555,-102.9574
4.0000,2006.0000,169.0625,0.0000,264.5569,0.0000,367.9522,367.9522,-103.1878
5.0000,2006.0000,169.0833,0.0000,264.1016,0.0000,368.7742,368.7742,-104.4648
6.0000,2006.0000,169.1042,0.0000,263.2502,0.0000,367.7637,367.7637,-104.3064
7.0000,2006.0000,169.1250,0.0000,263.6578,0.0000,367.6283,367.6283,-103.7630
8.0000,2006.0000,169.1458,0.0000,264.1644,0.0000,365.9918,365.9918,-101.6201
9.0000,2006.0000,169.1667,0.0000,265.3013,0.0000,366.2141,366.2141,-100.7047
10.0000,2006.0000,169.1875,9.5529,265.6201,2.5251,368.0961,370.6212,-95.2392
11.0000,2006.0000,169.2083,30.4876,264.9932,8.0589,372.3590,380.4180,-84.7264
12.0000,2006.0000,169.2292,56.9254,266.1389,14.4224,376.1755,390.5979,-67.3261
13.0000,2006.0000,169.2500,128.1831,267.6814,31.0303,386.1896,417.2199,-21.1427
14.0000,2006.0000,169.2708,115.0863,274.4522,26.6572,387.8050,414.4622,-24.7131
15.0000,2006.0000,169.2917,152.0180,279.1465,33.7473,392.0379,425.7852,5.5875
16.0000,2006.0000,169.3125,182.5036,284.3983,38.9199,397.6853,436.6052,30.5332
17.0000,2006.0000,169.3333,262.0865,288.7400,54.0731,406.5431,460.6162,91.0972
18.0000,2006.0000,169.3542,239.9954,294.9521,47.7416,407.8717,455.6133,79.8883
19.0000,2006.0000,169.3750,264.3923,296.9857,50.9549,411.4720,462.4269,99.3265
20.0000,2006.0000,169.3958,388.2541,298.7182,72.7831,423.5719,496.3550,190.9251
21.0000,2006.0000,169.4167,479.2193,295.4107,87.7793,433.1566,520.9358,254.0557
22.0000,2006.0000,169.4375,714.8917,305.3961,128.4206,453.9597,582.3803,438.2578
23.0000,2006.0000,169.4583,399.5846,311.4058,70.7056,433.6900,504.3956,206.8696
24.0000,2006.0000,169.4792,565.3739,310.1499,98.9656,447.3514,546.3170,329.4669
25.0000,2006.0000,169.5000,765.4133,306.1097,133.0384,460.7546,593.7930,477.9942
26.0000,2006.0000,169.5208,892.3993,305.9476,154.6343,477.1739,631.8082,566.8637
27.0000,2006.0000,169.5417,875.9978,306.8700,151.9412,477.7388,629.6800,553.4952
28.0000,2006.0000,169.5625,874.4827,310.0522,152.4421,483.1847,635.6268,549.2050
29.0000,2006.0000,169.5833,661.2940,311.1870,116.3103,464.6177,580.9280,391.7840
30.0000,2006.0000,169.6042,746.6276,314.6803,132.9945,477.2967,610.2912,451.3867
31.0000,2006.0000,169.6250,624.4919,314.2317,113.1901,469.8553,583.0455,356.0271
32.0000,2006.0000,169.6458,641.6668,311.7402,118.8024,471.5815,590.3839,363.4412
33.0000,2006.0000,169.6667,684.5985,309.4807,129.9975,479.0269,609.0244,385.4807
34.0000,2006.0000,169.6875,578.8621,309.9069,113.2302,475.5469,588.7771,300.7988
35.0000,2006.0000,169.7083,476.3593,310.2443,96.3797,465.4295,561.8092,225.9375
36.0000,2006.0000,169.7292,343.3001,309.5177,71.7873,453.3168,525.1041,127.9377
37.0000,2006.0000,169.7500,285.8275,309.8124,62.1278,449.6379,511.7657,84.1417
38.0000,2006.0000,169.7708,163.9977,309.2343,37.1531,437.4677,474.6208,-1.1516
39.0000,2006.0000,169.7917,181.2147,313.1557,42.8702,434.4554,477.3256,17.2766
40.0000,2006.0000,169.8125,70.4843,303.6583,17.4408,426.8716,444.3124,-69.9382
41.0000,2006.0000,169.8333,24.7941,295.8571,6.4234,413.8526,420.2759,-99.3917
42.0000,2006.0000,169.8542,12.2474,295.5127,3.2374,407.6029,410.8404,-102.8458
43.0000,2006.0000,169.8750,0.0000,295.0556,0.0000,397.6339,397.6339,-102.3479
44.0000,2006.0000,169.8958,0.0000,304.8515,0.0000,397.7729,397.7729,-92.6864
45.0000,2006.0000,169.9167,0.0000,299.6918,0.0000,394.8247,394.8247,-94.9014
46.0000,2006.0000,169.9375,0.0000,298.4136,0.0000,394.0193,394.0193,-95.3749
47.0000,2006.0000,169.9583,0.0000,298.3650,0.0000,394.2286,394.2286,-95.6325
48.0000,2006.0000,169.9792,0.0000,300.2498,0.0000,393.9248,393.9248,-93.4429
49.0000,2006.0000,170.0000,0.0000,305.0821,0.0000,395.7316,395.7316,-90.4144
